  0  Lactuca virosa              | Bitter Lettuce              | Acı Marul
  1  Pelargonium capitatum       | Rose-scented Geranium       | Gül Kokulu Sardunya
  2  Pelargonium graveolens      | Rose Geranium               | Gül Sardunyası
  3  Cirsium arvense             | Creeping Thistle            | Tarla Devedikenesi
  4  Cirsium vulgare             | Bull Thistle                | Köy Devedikenesi
  5  Pelargonium odoratissimum   | Apple Geranium              | Elma Kokulu Sardunya
  6  Pelargonium peltatum        | Ivy Geranium                | Sarmaşık Sardunyası
  7  Pelargonium quercifolium    | Oak-leaved Geranium         | Meşe Yapraklı Sardunya
  8  Pelargonium zonale          | Zonal Geranium              | Zonlu Sardunya
  9  Mercurialis annua           | Annual Mercury              | Yıllık Civa Otu
 10  Phyllanthus tenellus        | Mascarene Leaf-flower       | —
 11  Hypericum perforatum        | St. John's Wort             | Sarı Kantaron
 12  Egeria densa                | Dense Waterweed             | Yoğun Su Otu
 13  Ibicella lutea              | Yellow Devil's Claw         | Sarı Şeytan Pençesi
 14  Tradescantia fluminensis    | Small-leaf Spiderwort       | Küçük Yapraklı Örümcek Otu
 15  Tradescantia zebrina        | Inch Plant                  | Çizgili Tradeskansiya
 16  Lamium amplexicaule         | Henbit                      | Saplı Ballıbaba
 17  Lavandula dentata           | French Lavender             | Fransız Lavantası
 18  Striga asiatica             | Witchweed                   | Sihirbaz Otu
 19  Melilotus albus             | White Sweet Clover          | Beyaz Taş Yoncası
 20  Trifolium fragiferum        | Strawberry Clover           | Çilek Yoncası
 21  Asystasia gangetica         | Chinese Violet              | Çin Menekşesi
 22  Nymphaea nouchali           | Blue Star Water-lily        | Mavi Yıldız Nilüferi
 23  Dryopteris aemula           | Hay-scented Buckler-fern    | Saman Kokulu Eğrelti
 24  Dryopteris affinis          | Golden-scaled Male Fern     | Altın Pullu Erkek Eğrelti
 25  Dryopteris filix-mas        | Male Fern                   | Erkek Eğrelti
 26  Nephrolepis cordifolia      | Fishbone Fern               | Balık Kılçığı Eğreltisi
 27  Nephrolepis exaltata        | Sword Fern                  | Kılıç Eğreltisi
 28  Osmunda regalis             | Royal Fern                  | Kraliyet Eğreltisi
 29  Achyranthes aspera          | Prickly Chaff Flower        | Dikenli Saman Çiçeği
 30  Lithodora fruticosa         | Shrubby Gromwell            | Çalı Taşkeseni
 31  Humulus lupulus             | Common Hop                  | Şerbetçiotu
 32  Vaccaria hispanica          | Cow Cockle                  | İnek Darısı
 33  Spergularia rubra           | Sand Spurrey                | Kırmızı Kum Otu
 34  Moehringia trinervia        | Three-nerved Sandwort       | Üç Damarlı Kum Otu
 35  Calendula officinalis       | Pot Marigold                | Ayvacık / Nergiz
 36  Calendula stellata          | Star Marigold               | Yıldız Nergiz
 37  Carthamus caeruleus         | Blue Safflower              | Mavi Aspir
 38  Carthamus lanatus           | Woolly Safflower            | Yünlü Aspir
 39  Cirsium monspessulanum      | Southern Marsh Thistle      | Güney Bataklık Devedikenesi
 40  Helminthotheca echioides    | Bristly Oxtongue            | Dikenli Öküzdili
 41  Hyoseris radiata            | Capeweed                    | —
 42  Lactuca muralis             | Wall Lettuce                | Duvar Marulu
 43  Lactuca saligna             | Least Lettuce               | En Küçük Marul
 44  Lactuca tenerrima           | —                           | —
 45  Limbarda crithmoides        | Golden Samphire             | Altın Kayakoruk
 46  Sedum acre                  | Biting Stonecrop            | Acı Damkoruğu
 47  Sedum album                 | White Stonecrop             | Beyaz Damkoruğu
 48  Sedum amplexicaule          | Tasteless Stonecrop         | —
 49  Sedum andegavense           | Anjou Stonecrop             | —
 50  Sedum brevifolium           | Short-leaved Stonecrop      | Kısa Yapraklı Damkoruğu
 51  Sedum caeruleum             | Blue Stonecrop              | Mavi Damkoruğu
 52  Sedum caespitosum           | Tufted Stonecrop            | —
 53  Sedum cepaea                | Pink Stonecrop              | —
 54  Sedum dasyphyllum           | Corsican Stonecrop          | Korsika Damkoruğu
 55  Sedum forsterianum          | Rock Stonecrop              | Kaya Damkoruğu
 56  Sedum hirsutum              | Hairy Stonecrop             | Tüylü Damkoruğu
 57  Sedum litoreum              | Shore Stonecrop             | Kıyı Damkoruğu
 58  Sedum multiceps             | Algerian Stonecrop          | Cezayir Damkoruğu
 59  Sedum rubens                | Reddish Stonecrop           | Kırmızımsı Damkoruğu
 60  Sedum sediforme             | Pale Stonecrop              | Soluk Damkoruğu
 61  Alliaria petiolata          | Garlic Mustard              | Sarımsaklı Hardal
 62  Boscia angustifolia         | Narrow-leaved Boscia        | —
 63  Fibigia clypeata            | Shield-pod                  | Kalkan Bakla
 64  Maerua angolensis           | Angolan Maerua              | —
 65  Acalypha virginica          | Virginia Copperleaf         | Virginia Bakır Yaprağı
 66  Mercurialis perennis        | Dog's Mercury               | Çok Yıllık Civa Otu
 67  Phyllanthus reticulatus     | Reticulate Leaf-flower      | —
 68  Hypericum androsaemum       | Tutsan                      | Peri Otu
 69  Hypericum australe          | Southern St. John's Wort    | Güney Kantaronu
 70  Hypericum canariense        | Canary Islands St. Jw.      | Kanarya Adaları Kantaronu
 71  Hypericum empetrifolium     | Heath St. John's Wort       | —
 72  Hypericum hircinum          | Goat St. John's Wort        | Keçi Kantaronu
 73  Hypericum hirsutum          | Hairy St. John's Wort       | Tüylü Kantaron
 74  Hypericum humifusum         | Trailing St. John's Wort    | Yatık Kantaron
 75  Hypericum linariifolium     | Flax-leaved St. Jw.         | Keten Yapraklı Kantaron
 76  Hypericum montanum          | Mountain St. John's Wort    | Dağ Kantaronu
 77  Hypericum perfoliatum       | Perfoliate St. John's Wort  | Saplı Kantaron
 78  Hypericum tetrapterum       | Square-stalked St. Jw.      | Dört Kanatlı Kantaron
 79  Hypericum tomentosum        | Woolly St. John's Wort      | Yünlü Kantaron
 80  Lamium bifidum              | Split Deadnettle            | —
 81  Lamium flexuosum            | Flexible Deadnettle         | —
 82  Lamium garganicum           | Large Red Deadnettle        | Büyük Kırmızı Ballıbaba
 83  Lamium hybridum             | Cut-leaved Deadnettle       | Parçalı Yapraklı Ballıbaba
 84  Lamium purpureum            | Red Deadnettle              | Kırmızı Ballıbaba
 85  Lavandula canariensis       | Canary Islands Lavender     | Kanarya Adaları Lavantası
 86  Lavandula minutolii         | Minuto's Lavender           | —
 87  Lavandula multifida         | Fernleaf Lavender           | Eğrelti Yapraklı Lavanta
 88  Lavandula stoechas          | French Lavender             | Karabaş Lavantası
 89  Acacia mellifera            | Black-thorned Acacia        | Siyah Dikenli Akasya
 90  Acacia seyal                | Whistling Thorn             | Islıklı Akasya
 91  Acacia tortilis             | Umbrella Thorn              | Şemsiye Dikeni Akasya
 92  Galega officinalis          | Goat's Rue                  | Keçi Sedefi
 93  Lupinus cosentinii          | Rough Lupin                 | Kaba Acı Bakla
 94  Lupinus micranthus          | Hairy Lupin                 | Tüylü Acı Bakla
 95  Melilotus italicus          | Italian Melilot             | İtalyan Taş Yoncası
 96  Melilotus sulcatus          | Furrowed Melilot            | Oluklu Taş Yoncası
 97  Trifolium angustifolium     | Narrow-leaved Clover        | Dar Yapraklı Yonca
 98  Trifolium arvense           | Hare's-foot Clover          | Tavşan Ayağı Yoncası
 99  Trifolium aureum            | Golden Clover               | Altın Yonca
100  Trifolium campestre         | Hop Trefoil                 | Şerbetçiotu Yoncası
101  Trifolium cherleri          | Cherler's Clover            | —
102  Trifolium hirtum            | Rose Clover                 | Gül Yoncası
103  Trifolium hybridum          | Alsike Clover               | Melez Yonca
104  Trifolium incarnatum        | Crimson Clover              | Kırmızı Yonca
105  Trifolium lappaceum         | Bur Clover                  | Yapışkan Yonca
106  Trifolium michelianum       | Balansa Clover              | Balansa Yoncası
107  Trifolium micranthum        | Slender Trefoil             | İnce Yonca
108  Trifolium montanum          | Mountain Clover             | Dağ Yoncası
109  Trifolium ochroleucon       | Sulphur Clover              | Kükürt Yoncası
110  Trifolium pannonicum        | Hungarian Clover            | Macar Yoncası
111  Trifolium patens            | Spreading Clover            | Yayılan Yonca
112  Trifolium pratense          | Red Clover                  | Çayır Yoncası
113  Trifolium purpureum         | Purple Clover               | Mor Yonca
114  Trifolium resupinatum       | Reversed Clover             | Tersine Yonca
115  Trifolium scabrum           | Rough Clover                | Kaba Yonca
116  Trifolium spumosum          | Bladder Clover              | Kabarcıklı Yonca
117  Trifolium squamosum         | Sea Clover                  | Deniz Yoncası
118  Trifolium stellatum         | Star Clover                 | Yıldız Yonca
119  Trifolium striatum          | Knotted Clover              | Düğümlü Yonca
120  Trifolium subterraneum      | Subterranean Clover         | Yer Altı Yoncası
121  Trifolium tomentosum        | Woolly Clover               | Yünlü Yonca
122  Punica granatum             | Pomegranate                 | Nar
123  Alcea rosea                 | Common Hollyhock            | Gülhatmi / Hatmi
124  Althaea cannabina           | Hemp-leaved Hollyhock       | Kendir Yapraklı Hatmi
125  Althaea officinalis         | Marsh Mallow                | Ebegümeci
126  Nymphaea alba               | White Water Lily            | Beyaz Nilüfer
127  Hunnemannia fumariifolia    | Mexican Tulip Poppy         | Meksika Lale Geliniği
128  Papaver atlanticum          | Atlas Poppy                 | Atlas Geliniği
129  Papaver rupifragum          | Spanish Poppy               | İspanyol Geliniği
130  Goniolimon tataricum        | Tatarian Sea Lavender       | Tatar Lavantası
131  Adonis aestivalis           | Summer Pheasant's Eye       | Yaz Pırnallısı
132  Adonis annua                | Pheasant's Eye              | Kırmızı Pırnallı
133  Adonis flammea              | Flame Pheasant's Eye        | Alev Pırnallı
134  Adonis microcarpa           | Small-fruited Pheasant's Eye| Küçük Meyveli Pırnallı
135  Anemone coronaria           | Crown Anemone               | Taç Anemon
136  Anemone palmata             | Palmate Anemone             | Palmiye Yapraklı Anemon
137  Oldenlandia corymbosa       | Flat-topped Mille Graines   | —
138  Hyoscyamus albus            | White Henbane               | Beyaz Bant Otu
139  Hyoscyamus niger            | Black Henbane               | Bant Otu / Karabant
140  Daphne gnidium              | Flax-leaved Daphne          | Keten Yapraklı Defne
141  Daphne laureola             | Spurge Laurel               | Defne Yapraklı Sütleğen
142  Daphne oleoides             | Olive-leaved Daphne         | Zeytin Yapraklı Defne
143  Berula erecta               | Lesser Water-parsnip        | Küçük Su Çeğini
144  Chaerophyllum temulum       | Rough Chervil               | Kaba Frenk Maydanozu
145  Daucus muricatus            | Prickly Carrot              | Dikenli Havuç
146  Meum athamanticum           | Meu                         | Dağ Rezene
147  Thapsia garganica           | Deadly Carrot               | Zehirli Havuç
148  Thapsia villosa             | Hairy Thapsia               | Tüylü Thapsia
149  Centranthus calcitrapae     | Star Valerian               | Yıldız Kediotu
150  Fedia cornucopiae           | African Valerian            | Afrika Kediotu
151  Pancratium canariense       | Canary Sea Daffodil         | Kanarya Kum Zambağı
152  Pancratium maritimum        | Sea Daffodil                | Kum Zambağı
153  Anthericum liliago          | St. Bernard's Lily          | Aziz Bernard Zambağı
154  Butomus umbellatus          | Flowering Rush              | Çiçekli Saz
155  Danth

155  Danthonia decumbens         | Heath Grass                 | Funda Çimi
156  Leersia oryzoides           | Rice Cutgrass               | Pirinç Otu
157  Phalaris coerulescens       | —                           | —
158  Oncostema elongata          | —                           | —
159  Oncostema peruviana         | Portuguese Squill           | Portekiz Sümbülü
160  Elodea canadensis           | Canadian Pondweed           | Kanada Su Bitkisi
161  Neotinea maculata           | Dense-flowered Orchid       | Yoğun Çiçekli Orkide
162  Ophrys apifera              | Bee Orchid                  | Arı Orkidesi
163  Ophrys bombyliflora         | Bumble Bee Orchid           | Yaban Arısı Orkidesi
164  Ophrys fusca                | Brown Bee Orchid            | Kahverengi Arı Orkidesi
165  Ophrys lutea                | Yellow Bee Orchid           | Sarı Arı Orkidesi
166  Ophrys scolopax             | Woodcock Orchid             | Çulluk Orkidesi
167  Ophrys speculum             | Mirror Orchid               | Ayna Orkidesi
168  Ophrys tenthredinifera      | Sawfly Orchid               | Testere Sineği Orkidesi
169  Groenlandia densa           | Opposite-leaved Pondweed    | Karşılıklı Yapraklı Su Otu
170  Myosoton aquaticum          | Water Chickweed             | Su Tavuk Otu
171  Cirsium palustre            | Marsh Thistle               | Bataklık Devedikenesi
172  Lamium galeobdolon          | Yellow Archangel            | Sarı Archangel
173  Lavandula angustifolia      | Common Lavender             | Tıbbi Lavanta
174  Casuarina cunninghamiana    | River She-oak               | Nehir Kazuarinası
175  Trifolium rubens            | Red Feather Clover          | Kırmızı Tüy Yoncası
176  Falcaria vulgaris           | Longleaf                    | Uzun Yapraklı Falkarya
177  Hypericum triquetrifolium   | Round-leaved St. Jw.        | —
178  Wigandia caracasana         | Caracas Wigandia            | —
179  Nymphaea lotus              | White Lotus                 | Beyaz Lotus
180  Sedum villosum              | Hairy Stonecrop             | Tüylü Damkoruğu
181  Epipactis helleborine       | Broad-leaved Helleborine    | Geniş Yapraklı Dağ Orkidesi
182  Thesium humifusum           | Bastard Toadflax            | —
183  Acacia etbaica              | Etbai Acacia                | —
184  Centranthus angustifolius   | Narrow-leaved Valerian      | Dar Yapraklı Kediotu
185  Centranthus lecoqii         | Lecoq's Valerian            | —
186  Sedum anglicum              | English Stonecrop           | İngiliz Damkoruğu
187  Sedum rupestre              | Rock Stonecrop              | Kaya Damkoruğu
188  Ophrys insectifera          | Fly Orchid                  | Sinek Orkidesi
189  Freesia refracta            | Freesia                     | Frezya
190  Diatelia tuberaria          | Spotted Rock-rose           | Benekli Gün Çiçeği
191  Tradescantia pallida        | Purple Heart                | Mor Yürek Otu
192  Cenchrus longispinus        | Longspine Sandbur           | Uzun Dikenli Kum Çiti
193  Schefflera actinophylla     | Queensland Umbrella Tree    | Queensland Şemsiye Ağacı
194  Cenchrus clandestinus       | Kikuyu Grass                | Kikuyu Çimi
195  Cenchrus purpureus          | Napier Grass                | Napier Çimi / Fil Otu
196  Cenchrus setaceus           | Crimson Fountain Grass      | Mor Çeşme Otu
197  Anemone hortensis           | Broad-leaved Anemone        | Geniş Yapraklı Anemon
198  Tradescantia cerinthoides   | —                           | —
199  Papaver argemone            | Prickly Poppy               | Dikenli Gelincik
200  Papaver hybridum            | Rough Poppy                 | Kaba Gelincik
201  Papaver rhoeas              | Common Poppy                | Gelincik
202  Papaver dubium              | Long-headed Poppy           | Uzun Başlı Gelincik
203  Papaver somniferum          | Opium Poppy                 | Haşhaş
204  Daucus carota               | Wild Carrot                 | Yabani Havuç
205  Smilax aspera               | Mediterranean Smilax        | Akdeniz Gıcırı
206  Aizoon canariense           | —                           | —
207  Zannichellia palustris      | Horned Pondweed             | Boynuzlu Su Otu
208  Secale cereale              | Rye                         | Çavdar
209  Cenchrus ciliaris           | Buffel Grass                | Buffel Çimi
210  Cenchrus echinatus          | Southern Sandbur            | Güney Kum Çiti
211  Phalaris aquatica           | Bulbous Canary-grass        | Yumrulu Kanarya Otu
212  Phalaris arundinacea        | Reed Canary-grass           | Saz Kanarya Otu
213  Phalaris canariensis        | Canary Grass                | Kanarya Otu
214  Phalaris minor              | Lesser Canary Grass         | Küçük Kanarya Otu
215  Phalaris paradoxa           | Paradox Canary Grass        | —
216  Sedum hispanicum            | Spanish Stonecrop           | İspanyol Damkoruğu
217  Crotalaria juncea           | Sunn Hemp                   | Hint Keneviri
218  Lupinus angustifolius       | Narrow-leaved Lupin         | Dar Yapraklı Acı Bakla
219  Lupinus luteus              | Yellow Lupin                | Sarı Acı Bakla
220  Lupinus pilosus             | Blue Lupin                  | Tüylü Acı Bakla
221  Lupinus albus               | White Lupin                 | Beyaz Acı Bakla
222  Trifolium alexandrinum      | Egyptian Clover             | İskenderiye Yoncası
223  Trifolium dubium            | Lesser Trefoil              | Küçük Yonca
224  Trifolium glomeratum        | Clustered Clover            | Küme Yonca
225  Trifolium nigrescens        | Ball Clover                 | Top Yonca
226  Trifolium repens            | White Clover                | Ak Yonca
227  Dalbergia melanoxylon       | African Blackwood           | Afrika Pelisengağacı
228  Melilotus indicus           | Indian Sweetclover          | Hint Taş Yoncası
229  Melilotus officinalis       | Yellow Sweet Clover         | Sarı Taş Yoncası
230  Acacia dealbata             | Silver Wattle               | Gümüş Akasya
231  Acacia longifolia           | Long-leaved Wattle          | Uzun Yapraklı Akasya
232  Acacia mearnsii             | Black Wattle                | Kara Akasya
233  Acacia pycnantha            | Golden Wattle               | Altın Akasya
234  Acacia retinodes            | Swamp Wattle                | Bataklık Akasyası
235  Barbarea verna              | American Yellow-rocket      | Amerikan Sarı Roketi
236  Barbarea intermedia         | Medium-flowered Rocket      | —
237  Myosurus minimus            | Mousetail                   | Fare Kuyruğu
238  Fragaria vesca              | Wild Strawberry             | Yabani Çilek
239  Duchesnea indica            | Indian Strawberry           | Yalancı Çilek
240  Centranthus ruber           | Red Valerian                | Kırmızı Kediotu
241  Guizotia abyssinica         | Niger Seed                  | Habeş Susam
242  Tagetes minuta              | Muster-John-Henry           | Mini Kadife Çiçeği
243  Tagetes patula              | French Marigold             | Fransız Kadife Çiçeği
244  Calendula arvensis          | Field Marigold              | Tarla Nergizi
245  Lapsana communis            | Nipplewort                  | Meme Otu
246  Carthamus tinctorius        | Safflower                   | Aspir
247  Lactuca sativa              | Garden Lettuce              | Marul
248  Lactuca serriola            | Prickly Lettuce             | Dikenli Marul
249  Arthraxon hispidus          | Small Carpetgrass           | Küçük Halı Çimi
250  Microchloa kunthii          | —                           | —
251  Harpachne schimperi         | —                           | —
252  Cedrela odorata             | Spanish Cedar               | İspanyol Sediri
253  Aeschynomene americana      | American Jointvetch         | Amerikan Eklemli Burcu
254  Prosopis alba               | White Carob                 | Beyaz Harnup
255  Prosopis juliflora          | Mesquite                    | Mezkit
256  Crotalaria spectabilis      | Showy Rattlebox             | Gösterişli Çıngırak Otu
257  Crotalaria chrysochlora     | —                           | —
258  Crotalaria deflersii        | —                           | —
259  Crotalaria polysperma       | —                           | —
260  Crotalaria uguenensis       | —                           | —
261  Crotalaria verrucosa        | Blue Rattlebox              | Mavi Çıngırak Otu
262  Lupinus perennis            | Sundial Lupine              | Güneş Saatli Acı Bakla
263  Lupinus polyphyllus         | Large-leaved Lupin          | Büyük Yapraklı Acı Bakla
264  Dalbergia latifolia         | Indian Rosewood             | Hint Gülağacı
265  Cordyla africana            | Wild Mango                  | Yabani Mango
266  Acacia xanthophloea         | Fever Tree                  | Ateş Ağacı
267  Acacia drepanolobium        | Whistling Thorn             | Islıklı Diken
268  Acacia hockii               | Hock's Thorn                | —
269  Acacia angustissima         | Prairie Acacia              | Çayır Akasyası
270  Gomphocarpus integer        | —                           | —
271  Trachelospermum jasminoides | Star Jasmine                | Yıldız Yasemini
272  Tradescantia spathacea      | Moses-in-the-cradle         | Beşikteki Musa
273  Gymnosporia putterlickioides| —                           | —
274  Conostomium kenyense        | —                           | —
275  Conostomium quadrangulare   | —                           | —
276  Mussaenda frondosa          | Mussaenda                   | —
277  Mussaenda erythrophylla     | Ashanti Blood               | Kırmızı Mussaenda
278  Morinda citrifolia          | Noni                        | Noni
279  Pilocarpus racemosus        | Jaborandi                   | Jaborandi
280  Pelargonium alchemilloides  | Lady's-mantle Geranium      | Kadın Mantolu Sardunya
281  Pelargonium quinquelobatum  | Five-lobed Geranium         | Beş Loblu Sardunya
282  Pelargonium glechomoides    | —                           | —
283  Gynura aurantiaca           | Purple Velvet Plant         | Mor Kadife Bitkisi
284  Gynura procumbens           | Longevity Spinach           | Uzun Ömür Ispaanağı
285  Tagetes erecta              | African Marigold            | Afrika Kadife Çiçeği
286  Aspilia mossambicensis      | —                           | —
287  Aspilia pluriseta           | —                           | —
288  Schkuhria pinnata           | Dwarf Mexican Marigold      | Minyatür Meksika Kadifesi
289  Montanoa hibiscifolia       | Daisy Tree                  | Papatya Ağacı
290  Acalypha crenata            | —                           | —
291  Acalypha hispida            | Chenille Plant              | Kadife Otu
292  Phyllanthus fischeri        | —                           | —
293  Phyllanthus suffrutescens   | —                           | —
294  Phyllanthus acidus          | Otaheite Gooseberry         | Bektaşiüzümü Çalısı
295  Phyllanthus amarus          | Stonebreaker                | Taş Kıran
296  Triadica sebifera           | Chinese Tallow Tree         | Çin Donyağı Ağacı
297  Petiveria alliacea          | Guinea Hen Weed             | —
298  Peperomia pellucida         | Shiny Bush                  | Parlak Çalı
299  Guaiacum officinale         | Lignum Vitae                | Yaşam Ağacı
300  Hypericum annulatum         | —                           | —
301  Mussaenda philippica        | Philippine Mussaenda        | Filipin Mussaendası
302  Wigandia urens              | Stinging Wigandia           | Yakıcı Wigandia
303  Boscia mossambicensis       | —                           | —
304  Boscia coriacea             | Leather-leaved Boscia       | —
305  Mecardonia procumbens       | —                           | —
306  Browallia americana         | Amethyst Flower             | Ametist Çiçeği
307  Acacia mangium              | Mangium Wattle              | Mangium Akasyası
308  Casuarina equisetifolia     | Coastal She-oak             | Kıyı Kazuarinası
309  Aristea abyssinica          | Abyssinian Aristea          | —
310  Aristea ecklonii            | Blue Stars                  | Mavi Yıldızlar
311  Erianthemum dregei          | —                           | —
312  Cucurbita ficifolia         | Chilacayote                 | —
313  Cucurbita pepo              | Pumpkin                     | Kabak
314  Luffa acutangula            | Angled Luffa                | Köşeli Lif Kabağı
315  Lagenaria siceraria         | Bottle Gourd                | Şişe Kabağı
316  Lagenaria sphaerica         | Wild Bottle Gourd           | Yabani Şişe Kabağı
317  Asystasia riparia           | —                           | —
318  Barringtonia asiatica       | Fish Poison Tree            | Balık Zehiri Ağacı
319  Couroupita guianensis       | Cannonball Tree             | Top Ağacı
320  Asystasia charmian          | —                           | —
321  Raphia farinifera           | Raffia Palm                 | Rafya Palmiyesi
322  Zamioculcas zamiifolia      | ZZ Plant                    | ZZ Bitkisi
323  Kniphofia linearifolia      | Red Hot Poker               | Kızıl Ateş Mızrağı
324  Smilax anceps               | —                           | —
325  Vanilla planifolia          | Vanilla                     | Vanilya
326  Ansellia africana           | African Orchid              | Afrika Orkidesi
327  Hypericum balearicum        | Balearic St. John's Wort    | Balear Kantaronu
328  Ophrys druentica            | —                           | —
329  Macrosyringion longiflorum  | Long-flowered Cow-wheat     | —
330  Pyracantha koidzumii        | Formosa Firethorn           | Formoza Ateş Dikeni
331  Lactuca plumieri            | Plumier's Lettuce           | —
332  Aizoanthemum hispanicum     | Ice Plant                   | Buz Bitkisi
333  Phedimus aizoon             | Aizoon Stonecrop            | —
334  Phedimus spurius            | Caucasian Stonecrop         | Kafkas Damkoruğu
335  Nephrolepis cordifolia      | Fishbone Fern               | Balık Kılçığı Eğreltisi
336  Cereus jamacaru             | Mandacaru Cactus            | Mandacaru Kaktüsü
337  Sedum pachyphyllum          | Jelly Bean Plant            | Jöle Çekirdeği Bitkisi
338  Sedum dendroideum           | Tree Sedum                  | Ağaç Damkoruğu
339  Liriodendron chinensis      | Chinese Tulip Tree          | Çin Lale Ağacı
340  Atocion rupestre            | Rock Catchfly               | Kaya Yapışkan Otu
341  Tagetes tenuifolia          | Signet Marigold             | Mühür Kadife Çiçeği
342  Aegopodium podagraria       | Ground Elder                | Yer Muzulu
343  Acacia melanoxylon          | Blackwood                   | Kara Ahşap Akasya
